kategoria,nev,rovidites,szerzok,ev,mit_mer,tetelek,dimenziok,valaszskala,magyar_valtozat,doi
Attitűd,General Attitudes towards Artificial Intelligence Scale,GAAIS,Schepman & Rodway,2020,Általános pozitív és negatív attitűd az MI iránt,20,"pozitív (12), negatív (8)",5 fokú Likert,"Igen – Rózsa és mtsai. (2025), Frontiers in Psychology",10.1016/j.chbr.2020.100014
Attitűd,Attitudes Towards Artificial Intelligence Scale,ATAI,"Sindermann, Sha, Zhou és mtsai.",2021,Az MI elfogadása és az MI-től való félelem,5,"elfogadás, félelem",11 fokú (0–10),Nem ismert publikált magyar validálás,10.1007/s13218-020-00689-0
Attitűd,AI Attitude Scale,AIAS-4,Grassini,2023,Rövid általános MI-attitűd,4,egydimenziós,10 fokú,Nem ismert publikált magyar validálás,10.3389/fpsyg.2023.1191628
Szorongás és fenyegetettség,Artificial Intelligence Anxiety Scale,AIAS,Wang & Wang,2022,MI-vel kapcsolatos szorongás,21,"tanulás, munkahely elvesztése, szociotechnikai vakság, MI-konfiguráció",7 fokú Likert,Nem ismert publikált magyar validálás,10.1080/10494820.2019.1674887
Szorongás és fenyegetettség,Threats of Artificial Intelligence Scale,TAI,"Kieslich, Lünich & Marcinkowski",2021,Az MI-alkalmazásoktól érzékelt fenyegetés különböző területeken,változó (területenként),"az MI négy funkciója (felismerés, előrejelzés, ajánlás, döntéshozatal) × alkalmazási terület",5 fokú Likert,Nem ismert publikált magyar validálás,10.1007/s12369-020-00734-w
MI-jártasság,Artificial Intelligence Literacy Scale,AILS,"Wang, Rau & Yuan",2023,MI-jártasság (önbevallás),12,"tudatosság, használat, értékelés, etika",7 fokú Likert,Nem ismert publikált magyar validálás,10.1080/0144929X.2022.2072768
MI-jártasság,Scale for the assessment of non-experts' AI literacy,SNAIL,"Laupichler, Aster, Haverkamp & Raupach",2023,Laikusok MI-jártassága,31,"technikai megértés, kritikus értékelés, gyakorlati alkalmazás",7 fokú,Nem ismert publikált magyar validálás,10.1016/j.chbr.2023.100338
MI-jártasság,Meta AI Literacy Scale,MAILS,"Carolus, Koch, Straka, Latoschik & Wienrich",2023,"MI-jártasság, valamint MI-vel kapcsolatos önhatékonyság és önkompetencia",34,"használat, megértés, alkotás, etika; önhatékonyság; önkompetencia",11 fokú (0–10),Nem ismert publikált magyar validálás,10.1016/j.chbah.2023.100014
MI-jártasság,Medical Artificial Intelligence Readiness Scale for Medical Students,MAIRS-MS,"Karaca, Çalışkan & Demir",2021,Orvostanhallgatók MI-felkészültsége,22,"kogníció, képesség, jövőkép, etika",5 fokú Likert,Nem ismert publikált magyar validálás,10.1186/s12909-021-02546-6
Bizalom és elfogadás,Trust in Automation Scale,TiA (Jian-skála),"Jian, Bisantz & Drury",2000,Automatizált rendszerekbe vetett bizalom,12,"bizalom, bizalmatlanság",7 fokú,Nem ismert publikált magyar validálás,10.1207/S15327566IJCE0401_04
Bizalom és elfogadás,Technology Acceptance Model,TAM,Davis,1989,Észlelt hasznosság és könnyű használhatóság,változó,"észlelt hasznosság, észlelt könnyű használat",7 fokú Likert,Magyar kutatásokban gyakran adaptálják (MI-re is),10.2307/249008
Bizalom és elfogadás,Unified Theory of Acceptance and Use of Technology,UTAUT / UTAUT2,"Venkatesh, Morris, Davis & Davis",2003,Technológiaelfogadási és -használati szándék,változó,"teljesítményelvárás, erőfeszítés-elvárás, társas hatás, támogató feltételek",7 fokú Likert,Magyar kutatásokban gyakran adaptálják (MI-re is),10.2307/30036540
Robotok,Negative Attitudes toward Robots Scale,NARS,"Nomura, Suzuki, Kanda & Kato",2006,Robotokkal szembeni negatív attitűd,14,"interakció, társas hatás, érzelmek",5 fokú Likert,Nem ismert publikált magyar validálás,10.1075/is.7.3.14nom
Robotok,Godspeed Questionnaire Series,Godspeed,"Bartneck, Kulić, Croft & Zoghbi",2009,Robotok észlelése,24,"antropomorfizmus, élőszerűség, szimpátia, észlelt intelligencia, észlelt biztonság",5 fokú szemantikus differenciál,Több nyelvre lefordították; magyar validálás nem ismert,10.1007/s12369-008-0001-3
